评论得分,评论内容
5,本来打算买128G版本的，没货，手机真心不错，用着很流畅，之前还有犹豫买6s，个人感觉不输苹果，比想象的好多了，系统也优化的不错，赞一个，物流也快！
5,到手有段时间了，用的很顺手，上张图
5,性价比超高，满意的机子。就是内存小了点，现在千元机都4G内存了。不过3G也够用就是了。
5,一般般，有点发烫，屏幕不是很好用，这个价格就这样
5,充电有点发烫。
4,不完美，指纹识别是个坑，识别率太低，系统优化也不好，刷微博有视频偶有爆音，欢乐斗地主经常卡死。右边的返回键经常误触
5,很好
5,安卓系统有点卡，还是苹果流畅
5,手机还不错，第一次用小米，感觉还行
5,用的优惠券很合算，1799到手，运行很快，有些烫手，电不禁用，做工可以，钢化膜完全贴不上，白边，彩虹纹，总之现在的手机价格还是偏贵了些，京东送货给力，推荐。
5,手机用着还不错，待机还可以，粗粮就用小米
5,用了几天还不错，好评！
5,很好用 物流也快
5,手機好看，運行快，手感不錯，就是拍照功能太少
5,好
5,东西已到，经济实惠，还不错。
5,给领导买的，听他说很好用
5,很不错，到手就用了，家里老人用还不错
5,首先给物流小哥一个超级赞，上午送来家里没有人，下午5点到家联系物流，工作人员说6点送到，5点40左右天下起雨，而且蛮大的，本来认为会推迟，没有想到6点过一会，工作人员把手机送到我手上，说真的，当我开门看见这位工作人员，真的很感动，此时此刻手机对于我这次的购物已经不在是重要的了，感动的是他们对客户的一种责任感，对工作的一种态度。
5,送货速度很快，东西很好，系统运行流畅，性价比很高，爸爸喜欢，就是手机听筒比苹果的小声了一点！
5,还可以，黑边有点大
5,很快，运行很流畅，好评
5,好用的手机，手感很棒，价格实惠
4,还不错?小米进步不少这性价比无敌了
5,没有想象中的那么好。 而且发热严重
5,很不错，。原先用的小米note，。有个同学用的小米5，感觉5S确实好很多，。
5,第一次在京东上手机，虽然中间出现了点小插曲，不过售后服务挺好的。
5,非常满意。
4,不小心定错颜色，本来想换，想想也算了，需要急用，颜色好像与功能也没有什么区别，手机反应还可以，暂时没有发现网上说的问题。
5,不赖不赖不赖不赖不赖不赖
1,手机数据线有问题，让重新发个数据线给我替换，非要我把手机数据线退回去。才发新的给我。害得我重新买了个数据线。难怪小米越来越差。京东售后也是越来越差。
1,还保价20天，刚买了就便宜了100 还不给补差价，也懒得退了
1,最差的一次购物，左下角躺沙发上从口袋滑落，裂了，居然导致屏幕失灵....失灵就失灵，维修报价750，说要换屏.....这坑货，要买的慎重.....碰了一下要修本来已经心疼，还要高价坑你一把，就是伤口撒盐了
1,我第一见到快充冲六个多小时的。冲了一个多小时了，才冲到百分之三十，一直很信任京东，但是经过了这次，以后再也不会在京东买东西了
1,这个手机的指纹解锁真的垃圾，按半天没反应，而且一个新手机竟然收到的时候已经是贴好钢化膜的了，
1,手机终于收到了，还不错！现在我只想说:下次不敢再买这样高端物品了，物流发货太刺激心脏了，差点把我的货发消失掉，找了好几天才找到
1,这wifi速度我也是醉了，下载太慢了几十k下急死我了，我加这次都推了3次了，寻思这次该是好的手机吧，可是并不是想象那样
1,第一次用鲁大师跑分，它显示的cpu是一串英文。而不是高通骁龙821，后来测评又显示的是高通处理器了。后来又用小米鉴定来测试，显示的就是下面这张图片。并没有找到客服，而是一个机器人……
1,系统费电的要死，指纹还不太灵敏，老解不开，都想退货了。果然便宜没好货
1,手机开不了机！才没用几天就坏了！
1,手机很差，很容易损坏，刚买两天就坏了，说说碰坏的，厂家不负责保修，维修个人全负责而且很贵！！
1,什么破手机，刚买来充电就烫得要死
1,真让人受不了京东的包装，就一个小箱子寄过来，里面泡沫棉和发票都没有，绝对差评！赶紧把发票给我！
1,第一感觉还可以，一般般
1,指纹真的好擦擦啊
